Name,Age,Position,MarketValue,Fee,Fee_Cleaned
James McAtee,22,Attacking Midfield,AM,€25.50m,25.5
Igor Jesus,24,Centre-Forward,CF,€19.00m,19
Nicolò Savona,22,Right-Back,RB,€13.00m,13
Jair Cunha,20,Centre-Back,CB,€12.00m,12
John Victor,29,Goalkeeper,GK,€8.00m,8
Cuiabano,22,Left-Back,LB,€6.00m,6
Douglas Luiz,27,Central Midfield,CM,Loan fee:€2.85m,Loan fee:2.85
Luca Netz,22,Left-Back,LB,€2.50m,2.5
Lorenzo Lucca,25,Centre-Forward,CF,Loan fee:€2.00m,Loan fee:2.00
Stefan Ortega,33,Goalkeeper,GK,€580k,580
Angus Gunn,29,Goalkeeper,GK,free transfer,0
Oleksandr Zinchenko,28,Left-Back,LB,loan transfer,0
Tyler Bindon,20,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Eric da Silva Moreira,19,Right-Back,RB,End of loan14/01/2026,End of loan14/01/2026
Andrew Omobamidele,23,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Cuiabano,22,Left-Back,LB,End of loan31/12/2025,End of loan31/12/2025
Matt Turner,31,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
David Carmo,25,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Omar Richards,27,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Jonathan Panzo,24,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Marko Stamenić,23,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Anthony Elanga,23,Right Winger,RW,€61.40m,61.4
Danilo,24,Central Midfield,CM,€23.00m,23
Ramón Sosa,25,Second Striker,SS,€12.50m,12.5
Andrew Omobamidele,23,Centre-Back,CB,€10.50m,10.5
Matt Turner,31,Goalkeeper,GK,€8.00m,8
Carlos Miguel,26,Goalkeeper,GK,€5.50m,5.5
Lewis O'Brien,26,Central Midfield,CM,€3.50m,3.5
Jota Silva,26,Left Winger,LW,Loan fee:€2.50m,Loan fee:2.50
Marko Stamenić,23,Central Midfield,CM,€2.00m,2
Arnaud Kalimuendo,23,Centre-Forward,CF,Loan fee:€1.50m,Loan fee:1.50
Jonathan Panzo,24,Centre-Back,CB,free transfer,0
Josh Bowler,26,Right Winger,RW,free transfer,0
Harry Toffolo,29,Left-Back,LB,free transfer,0
Cuiabano,22,Left-Back,LB,loan transfer,0
Eric da Silva Moreira,19,Right-Back,RB,loan transfer,0
Cuiabano,22,Left-Back,LB,loan transfer,0
David Carmo,26,Centre-Back,CB,loan transfer,0
Tyler Bindon,20,Centre-Back,CB,loan transfer,0
Emmanuel Dennis,27,Centre-Forward,CF,-,-
Wayne Hennessey,38,Goalkeeper,GK,-,-
Omar Richards,27,Left-Back,LB,loan transfer,0
Douglas Luiz,27,Central Midfield,CM,End of loan27/01/2026,End of loan27/01/2026
Oleksandr Zinchenko,29,Left-Back,LB,End of loan31/01/2026,End of loan31/01/2026
Álex Moreno,32,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Habib Diarra,21,Central Midfield,CM,€31.50m,31.5
Simon Adingra,23,Left Winger,LW,€24.40m,24.4
Enzo Le Fée,25,Central Midfield,CM,€23.00m,23
Brian Brobbey,23,Centre-Forward,CF,€20.00m,20
Chemsdine Talbi,20,Right Winger,RW,€20.00m,20
Nilson Angulo,22,Left Winger,LW,€17.34m,17.34
Noah Sadiki,20,Central Midfield,CM,€17.00m,17
Granit Xhaka,32,Defensive Midfield,DM,€15.00m,15
Nordi Mukiele,27,Right-Back,RB,€12.00m,12
Omar Alderete,28,Centre-Back,CB,€11.60m,11.6
Robin Roefs,22,Goalkeeper,GK,€10.50m,10.5
Jocelin Ta Bi,20,Right Winger,RW,€4.00m,4
Melker Ellborg,22,Goalkeeper,GK,€3.45m,3.45
Bertrand Traoré,29,Right Winger,RW,€2.90m,2.9
Arthur Masuaku,31,Left-Back,LB,free transfer,0
Reinildo Mandava,31,Left-Back,LB,free transfer,0
Lutsharel Geertruida,25,Right-Back,RB,loan transfer,0
Marc Guiu,19,Centre-Forward,CF,loan transfer,0
Timothée Pembélé,22,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Nectarios Triantis,22,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Nazariy Rusyn,26,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Adil Aouchiche,22,Attacking Midfield,AM,End of loan30/06/2025,End of loan30/06/2025
Abdoullah Ba,21,Right Midfield,RM,End of loan30/06/2025,End of loan30/06/2025
Luís Semedo,21,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Adil Aouchiche,23,Attacking Midfield,AM,End of loan01/02/2026,End of loan01/02/2026
Pierre Ekwah,23,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Milan Aleksic,20,Attacking Midfield,AM,End of loan25/01/2026,End of loan25/01/2026
Patrick Roberts,28,Right Winger,RW,End of loan01/02/2026,End of loan01/02/2026
Jobe Bellingham,19,Central Midfield,CM,€30.50m,30.5
Tom Watson,19,Left Winger,LW,€12.00m,12
Pierre Ekwah,23,Defensive Midfield,DM,€6.00m,6
Patrick Roberts,28,Right Winger,RW,€5.10m,5.1
Nectarios Triantis,22,Central Midfield,CM,€2.50m,2.5
Simon Adingra,24,Left Winger,LW,Loan fee:€1.00m,Loan fee:1.00
Adil Aouchiche,23,Attacking Midfield,AM,free transfer,0
Ian Poveda,26,Right Winger,RW,free transfer,0
Nathan Bishop,25,Goalkeeper,GK,?,?
Blondy Nna Noukeu,24,Goalkeeper,GK,?,?
Joe Anderson,24,Centre-Back,CB,?,?
Jay Matete,24,Central Midfield,CM,?,?
Dan Neil,24,Central Midfield,CM,loan transfer,0
Alan Browne,30,Central Midfield,CM,loan transfer,0
Arthur Masuaku,32,Left-Back,LB,loan transfer,0
Aji Alese,25,Centre-Back,CB,loan transfer,0
Anthony Patterson,25,Goalkeeper,GK,loan transfer,0
Leo Hjelde,22,Left-Back,LB,loan transfer,0
Timothée Pembélé,23,Right-Back,RB,loan transfer,0
Patrick Roberts,28,Right Winger,RW,loan transfer,0
Niall Huggins,24,Right-Back,RB,loan transfer,0
Jenson Seelt,22,Centre-Back,CB,loan transfer,0
Adil Aouchiche,22,Attacking Midfield,AM,loan transfer,0
Nazariy Rusyn,26,Centre-Forward,CF,loan transfer,0
Milan Aleksic,20,Attacking Midfield,AM,loan transfer,0
Zak Johnson,21,Centre-Back,CB,loan transfer,0
Luís Semedo,22,Centre-Forward,CF,loan transfer,0
Salis Abdul Samed,25,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Enzo Le Fée,25,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Marc Guiu,19,Centre-Forward,CF,End of loan01/09/2025,End of loan01/09/2025
Xavi Simons,22,Attacking Midfield,AM,€65.00m,65
Mohammed Kudus,24,Right Winger,RW,€63.80m,63.8
Conor Gallagher,25,Central Midfield,CM,€40.00m,40
Mathys Tel,20,Centre-Forward,CF,€35.00m,35
Kevin Danso,26,Centre-Back,CB,€25.00m,25
Souza,19,Left-Back,LB,€15.00m,15
Luka Vuskovic,18,Centre-Back,CB,€11.00m,11
Kota Takai,20,Centre-Back,CB,€5.80m,5.8
João Palhinha,30,Defensive Midfield,DM,Loan fee:€5.00m,Loan fee:5.00
Randal Kolo Muani,26,Centre-Forward,CF,loan transfer,0
Manor Solomon,26,Left Winger,LW,End of loan01/01/2026,End of loan01/01/2026
Dane Scarlett,22,Centre-Forward,CF,End of loan31/05/2026,End of loan31/05/2026
Min-hyeok Yang,19,Right Winger,RW,End of loan05/01/2026,End of loan05/01/2026
Min-hyeok Yang,19,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Alfie Devine,20,Attacking Midfield,AM,End of loan30/06/2025,End of loan30/06/2025
Manor Solomon,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Ashley Phillips,20,Centre-Back,CB,End of loan31/05/2026,End of loan31/05/2026
Alejo Veliz,21,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Bryan Gil,24,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Pierre-Emile Højbjerg,29,Defensive Midfield,DM,End of loan30/06/2025,End of loan30/06/2025
Brennan Johnson,24,Right Winger,RW,€40.00m,40
Heung-min Son,33,Left Winger,LW,€22.00m,22
Pierre-Emile Højbjerg,29,Defensive Midfield,DM,€13.50m,13.5
Bryan Gil,24,Left Winger,LW,€6.00m,6
Luka Vuskovic,18,Centre-Back,CB,Loan fee:€1.00m,Loan fee:1.00
Kota Takai,21,Centre-Back,CB,Loan fee:€200k,Loan fee:200
Min-hyeok Yang,19,Right Winger,RW,loan transfer,0
Alfie Devine,21,Attacking Midfield,AM,loan transfer,0
Mikey Moore,17,Left Winger,LW,loan transfer,0
Alejo Veliz,21,Centre-Forward,CF,loan transfer,0
Manor Solomon,26,Left Winger,LW,loan transfer,0
Manor Solomon,26,Left Winger,LW,loan transfer,0
Min-hyeok Yang,19,Right Winger,RW,loan transfer,0
Dane Scarlett,21,Centre-Forward,CF,loan transfer,0
Alfie Whiteman,26,Goalkeeper,GK,-,-
Sergio Reguilón,28,Left-Back,LB,-,-
Fraser Forster,37,Goalkeeper,GK,-,-
Mathys Tel,20,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Kevin Danso,26,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Timo Werner,29,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Mateus Fernandes,21,Central Midfield,CM,€44.00m,44
Jean-Clair Todibo,25,Centre-Back,CB,€40.00m,40
Taty Castellanos,27,Centre-Forward,CF,€29.00m,29
Pablo,22,Centre-Forward,CF,€23.00m,23
El Hadji Malick Diouf,20,Left-Back,LB,€22.00m,22
Mads Hermansen,25,Goalkeeper,GK,€20.80m,20.8
Soungoutou Magassa,21,Defensive Midfield,DM,€17.00m,17
Adama Traoré,30,Right Winger,RW,€2.30m,2.3
Axel Disasi,27,Centre-Back,CB,Loan fee:€2.00m,Loan fee:2.00
Callum Wilson,33,Centre-Forward,CF,free transfer,0
Kyle Walker-Peters,28,Right-Back,RB,free transfer,0
Keiber Lamadrid,22,Left Winger,LW,loan transfer,0
Igor Julio,27,Centre-Back,CB,loan transfer,0
Lukasz Fabianski,40,Goalkeeper,GK,-,-
Maxwel Cornet,28,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Kurt Zouma,30,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Kaelan Casey,21,Centre-Back,CB,End of loan15/01/2026,End of loan15/01/2026
Nayef Aguerd,29,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Mohammed Kudus,24,Right Winger,RW,€63.80m,63.8
Lucas Paquetá,28,Attacking Midfield,AM,€42.00m,42
Nayef Aguerd,29,Centre-Back,CB,€23.00m,23
Luís Guilherme,19,Right Winger,RW,€14.00m,14
Edson Álvarez,27,Defensive Midfield,DM,Loan fee:€2.00m,Loan fee:2.00
Andrew Irving,25,Central Midfield,CM,€1.50m,1.5
Emerson,31,Left-Back,LB,€700k,700
Danny Ings,33,Centre-Forward,CF,free transfer,0
Vladimír Coufal,32,Right-Back,RB,free transfer,0
Aaron Cresswell,35,Left-Back,LB,free transfer,0
Guido Rodríguez,31,Defensive Midfield,DM,free transfer,0
Kurt Zouma,30,Centre-Back,CB,free transfer,0
Wes Foderingham,34,Goalkeeper,GK,free transfer,0
Niclas Füllkrug,32,Centre-Forward,CF,loan transfer,0
Kaelan Casey,20,Centre-Back,CB,loan transfer,0
James Ward-Prowse,31,Central Midfield,CM,loan transfer,0
Kaelan Casey,21,Centre-Back,CB,loan transfer,0
Callum Marshall,21,Centre-Forward,CF,loan transfer,0
Maxwel Cornet,28,Left Winger,LW,loan transfer,0
Lukasz Fabianski,40,Goalkeeper,GK,-,-
Evan Ferguson,20,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Igor Julio,27,Centre-Back,CB,End of loan27/01/2026,End of loan27/01/2026
Jean-Clair Todibo,25,Centre-Back,CB,End of loan30/06/2025,End of loan30/06/2025
Carlos Soler,28,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Jørgen Strand Larsen,25,Centre-Forward,CF,€27.00m,27
Tolu Arokodare,24,Centre-Forward,CF,€26.00m,26
Fer López,21,Attacking Midfield,AM,€23.00m,23
Ladislav Krejčí,26,Centre-Back,CB,Loan fee:€22.50m,Loan fee:22.50
Jhon Arias,27,Right Winger,RW,€17.00m,17
Jackson Tchatchoua,23,Right-Back,RB,€12.50m,12.5
David Møller Wolfe,23,Left-Back,LB,€12.00m,12
Adam Armstrong,28,Centre-Forward,CF,€8.10m,8.1
Angel Gomes,25,Attacking Midfield,AM,Loan fee:€1.00m,Loan fee:1.00
Fábio Silva,22,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
Ki-Jana Hoever,23,Right-Back,RB,End of loan30/06/2025,End of loan30/06/2025
Tawanda Chirewa,22,Attacking Midfield,AM,End of loan31/05/2026,End of loan31/05/2026
Hugo Bueno,22,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Ki-Jana Hoever,24,Right-Back,RB,End of loan31/05/2026,End of loan31/05/2026
Pedro Lima,19,Right-Back,RB,End of loan31/12/2025,End of loan31/12/2025
Chiquinho,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Nasser Djiga,23,Centre-Back,CB,End of loan31/05/2026,End of loan31/05/2026
Matheus Cunha,26,Centre-Forward,CF,€74.20m,74.2
Jørgen Strand Larsen,25,Centre-Forward,CF,€49.70m,49.7
Rayan Aït-Nouri,24,Left-Back,LB,€36.80m,36.8
Jhon Arias,28,Right Winger,RW,€25.00m,25
Fábio Silva,23,Centre-Forward,CF,€22.50m,22.5
Emmanuel Agbadou,28,Centre-Back,CB,€18.00m,18
Gonçalo Guedes,28,Left Winger,LW,€4.00m,4
Nélson Semedo,31,Right-Back,RB,free transfer,0
Chiquinho,25,Left Winger,LW,free transfer,0
Pablo Sarabia,33,Attacking Midfield,AM,free transfer,0
Joe Hodge,22,Defensive Midfield,DM,?,?
Chem Campbell,22,Left Winger,LW,?,?
Tom King,30,Goalkeeper,GK,?,?
Tommy Doyle,23,Central Midfield,CM,loan transfer,0
Tawanda Chirewa,22,Attacking Midfield,AM,loan transfer,0
Fer López,21,Attacking Midfield,AM,loan transfer,0
Marshall Munetsi,29,Central Midfield,CM,loan transfer,0
Sasa Kalajdzic,28,Centre-Forward,CF,loan transfer,0
Boubacar Traoré,23,Defensive Midfield,DM,loan transfer,0
Craig Dawson,35,Centre-Back,CB,-,-
Pedro Lima,19,Right-Back,RB,loan transfer,0
Ki-Jana Hoever,23,Right-Back,RB,loan transfer,0
Nasser Djiga,22,Centre-Back,CB,loan transfer,0
Carlos Forbs,21,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Jørgen Strand Larsen,25,Centre-Forward,CF,End of loan30/06/2025,End of loan30/06/2025
